Industry Code,Industry Name,Substance,Unit,Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins,,DQ ReliabilityScore of Factors without Margins,DQ TemporalCorrelation of Factors without Margins,DQ GeographicalCorrelation of Factors without Margins,DQ TechnologicalCorrelation of Factors without Margins,DQ DataCollection of Factors without Margins
525,"Funds, trusts, and other financial vehicles",nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,3,1
525,"Funds, trusts, and other financial vehicles",other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0,0.002,,4,2,1,4,1
532RL,Rental and leasing services and lessors of intangible assets,carbon dioxide,"kg/2018 USD, purchaser price",0.092,0,0.092,,3,2,1,3,1
532RL,Rental and leasing services and lessors of intangible assets,methane,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,1,1
532RL,Rental and leasing services and lessors of intangible assets,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,2,1,3,1
532RL,Rental and leasing services and lessors of intangible assets,other GHGs,"kg CO2e/2018 USD, purchaser price",0.003,0,0.003,,4,2,1,5,1
5411,Legal services,carbon dioxide,"kg/2018 USD, purchaser price",0.058,0,0.058,,3,2,1,3,1
5411,Legal services,methane,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,1,1
5411,Legal services,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,3,1
5411,Legal services,other GHGs,"kg CO2e/2018 USD, purchaser price",0.001,0,0.001,,4,2,1,4,1
5412OP,"Miscellaneous professional, scientific, and technical services",carbon dioxide,"kg/2018 USD, purchaser price",0.084,0,0.084,,3,2,1,3,1
5412OP,"Miscellaneous professional, scientific, and technical services",methane,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,1,1
5412OP,"Miscellaneous professional, scientific, and technical services",nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,2,1,3,1
5412OP,"Miscellaneous professional, scientific, and technical services",other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0,0.002,,4,2,1,4,1
5415,Computer systems design and related services,carbon dioxide,"kg/2018 USD, purchaser price",0.04,0,0.04,,3,2,1,3,1
5415,Computer systems design and related services,methane,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,1,1
5415,Computer systems design and related services,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,2,1,3,1
5415,Computer systems design and related services,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0,0.004,,4,2,1,5,1
55,Management of companies and enterprises,carbon dioxide,"kg/2018 USD, purchaser price",0.102,0,0.102,,3,2,1,3,1
55,Management of companies and enterprises,methane,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,1,1
55,Management of companies and enterprises,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,3,1
55,Management of companies and enterprises,other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0,0.002,,3,2,1,4,1
561,Administrative and support services,carbon dioxide,"kg/2018 USD, purchaser price",0.087,0,0.087,,3,2,1,3,1
561,Administrative and support services,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,2,1,1,1
561,Administrative and support services,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,2,1,3,1
561,Administrative and support services,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0,0.004,,4,2,1,5,1
562,Waste management and remediation services,carbon dioxide,"kg/2018 USD, purchaser price",0.26,0,0.26,,2,2,1,2,1
562,Waste management and remediation services,methane,"kg/2018 USD, purchaser price",0.051,0,0.051,,2,2,1,1,1
562,Waste management and remediation services,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,2,1,1,1
562,Waste management and remediation services,other GHGs,"kg CO2e/2018 USD, purchaser price",0.015,0,0.015,,4,2,1,5,1
61,Educational services,carbon dioxide,"kg/2018 USD, purchaser price",0.167,0,0.167,,3,2,1,3,1
61,Educational services,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,2,1,1,1
61,Educational services,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,2,1,4,1
61,Educational services,other GHGs,"kg CO2e/2018 USD, purchaser price",0.003,0,0.003,,4,2,1,4,1
621,Ambulatory health care services,carbon dioxide,"kg/2018 USD, purchaser price",0.084,0,0.084,,3,2,1,3,1
621,Ambulatory health care services,methane,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,1,1
621,Ambulatory health care services,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,2,1
621,Ambulatory health care services,other GHGs,"kg CO2e/2018 USD, purchaser price",0.003,0,0.003,,4,2,1,4,1
622,Hospitals,carbon dioxide,"kg/2018 USD, purchaser price",0.127,0,0.127,,3,2,1,3,1
622,Hospitals,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,2,1,1,1
622,Hospitals,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,3,1
622,Hospitals,other GHGs,"kg CO2e/2018 USD, purchaser price",0.003,0,0.003,,4,2,1,4,1
623,Nursing and residential care facilities,carbon dioxide,"kg/2018 USD, purchaser price",0.14,0,0.14,,3,2,1,3,1
623,Nursing and residential care facilities,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,2,1,1,1
623,Nursing and residential care facilities,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,2,1,4,1
623,Nursing and residential care facilities,other GHGs,"kg CO2e/2018 USD, purchaser price",0.005,0,0.005,,4,2,1,5,1
624,Social assistance,carbon dioxide,"kg/2018 USD, purchaser price",0.134,0,0.134,,3,2,1,3,1
624,Social assistance,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,2,1,1,1
624,Social assistance,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,2,1,4,1
624,Social assistance,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0,0.004,,4,2,1,5,1
